year,county,population
2016,"Alcona County, MI",10461
2016,"Ionia County, MI",64126
2016,"Kalkaska County, MI",17259
2016,"Berrien County, MI",155134
2016,"Oscoda County, MI",8374
2016,"Wexford County, MI",32829
2016,"Clinton County, MI",77245
2016,"Dickinson County, MI",25889
2016,"Huron County, MI",32021
2016,"Ingham County, MI",284559
2017,"Chippewa County, MI",38023
2017,"Monroe County, MI",149619
2017,"Allegan County, MI",114145
2017,"Oakland County, MI",1241860
2017,"Hillsdale County, MI",45909
2017,"Alger County, MI",9254
2017,"Muskegon County, MI",172707
2017,"Oceana County, MI",26317
2017,"Leelanau County, MI",21564
2017,"Lapeer County, MI",88205
2017,"Clare County, MI",30597
2017,"Sanilac County, MI",41535
2017,"Keweenaw County, MI",2136
2017,"Isabella County, MI",70572
2017,"Ontonagon County, MI",6072
2017,"Ottawa County, MI",280243
2017,"Tuscola County, MI",53569
2017,"Alcona County, MI",10413
2017,"Alpena County, MI",28730
2017,"Ionia County, MI",64147
2017,"Kalkaska County, MI",17358
2017,"Midland County, MI",83489
2017,"Berrien County, MI",154948
2017,"Ogemaw County, MI",20979
2017,"Oscoda County, MI",8304
2017,"Wexford County, MI",32915
2017,"Crawford County, MI",13821
2017,"Clinton County, MI",77321
2017,"Dickinson County, MI",25694
2017,"Gratiot County, MI",41319
2017,"Huron County, MI",31750
2017,"Ingham County, MI",286185
2017,"Lenawee County, MI",98585
2017,"Mason County, MI",28800
2017,"Menominee County, MI",23389
2017,"Montcalm County, MI",62956
2017,"Missaukee County, MI",14982
2017,"St. Joseph County, MI",60890
2017,"St. Clair County, MI",159761
2017,"Van Buren County, MI",75190
2017,"Washtenaw County, MI",361509
2017,"Arenac County, MI",15238
2017,"Barry County, MI",59607
2017,"Cass County, MI",51397
2017,"Iron County, MI",11291
2017,"Benzie County, MI",17462
2017,"Roscommon County, MI",23934
2017,"Schoolcraft County, MI",8114
2017,"Wayne County, MI",1763822
2017,"Branch County, MI",43543
2017,"Grand Traverse County, MI",91222
2017,"Jackson County, MI",158989
2017,"Mackinac County, MI",10836
2017,"Genesee County, MI",410881
2017,"Antrim County, MI",23133
2017,"Houghton County, MI",36333
2017,"Livingston County, MI",186946
2017,"Iosco County, MI",25317
2017,"Lake County, MI",11669
2017,"Manistee County, MI",24432
2017,"Montmorency County, MI",9290
2017,"Presque Isle County, MI",12854
2017,"Gladwin County, MI",25324
2017,"Kalamazoo County, MI",259830
2017,"Mecosta County, MI",43181
2017,"Marquette County, MI",67145
2017,"Newaygo County, MI",47899
